"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M149.953T1079.6","149.952970928288","1079.64","7013.64787234038","740.610909090878","0","0","2093.83555555558","726.387199999986","1225.5","503.01384615384","10530.8571428571"
"M152.0578T219.5","152.057788958631","219.512","7256.07065671642","2411.552","5750.20783050848","13353.2473","52506.3298153846","13610.9902153846","58332.1606363636","10729.8226666667","70974.87846875"
"M153.1277T524.9","153.127728015773","524.946","1108.54347058823","687.841052631576","450.236518518514","772.137339872472","1170.49580652574","907.439175474878","1334.58348148148","878.415699999993","1051.05820754718"
"M154.0586T212.7","154.058580134104","212.656","5293.4232826087","1960.55445833333","7036.16163461538","1006.59585714286","2160.33663829787","1112.52408510638","891.843955993652","2734.37463414634","1370.41943181818"
"M154.9677T70.3","154.967743683913","70.277","1459.56271653543","2465.89779545455","1456.03942148437","2910.59298089172","1325.40777777778","2763.25522222222","2380.5417631579","2563.72291304348","2628.16935897436"
"M155.13T874.8","155.129957024114","874.8015","902.424600000022","17512.9285714286","10663.88090625","478.717999999997","3825.81468616832","3486.20932839134","3057.80874488467","17609.1023304348","10527"
"M155.1293T775.9","155.129327780418","775.861","3327.00750000005","3260.58267211914","3094.77612625925","6994.68255319149","3338.4205078125","3148.5298751028","808.150999999973","3706.07026086965","556.195000000025"
"M155.1294T804.5","155.129413575793","804.469","1444.47349999995","1345.98589324951","1315.74785614014","762.301499999974","1415.08527483259","1529.73541259766","777.777000000055","11286.0037971015","1688.25540000002"
"M155.1295T785.8","155.129505247096","785.826","1296.11125000002","1421.32559204102","1448.58675384521","725.022000000072","1394.11601257324","1472.08378601074","704.668249999976","10261.3915624999","539.477000000024"
"M155.1293T759.6","155.129339510201","759.577","1654.82460000002","1664.56708374023","1761.08529052734","570.555333333359","1650.49572753906","1825.65115356445","607.420666666694","4924.18539999998","693.796999999909"
"M155.1294T732.6","155.129398370261","732.574","4303.4394591064","4593.69735422442","4635.48767018913","4841.37308571428","4801.13104051159","4288.98026398689","3877.75862068963","3741.53250000002","7571.26502127666"
"M155.1748T405.6","155.1748046875","405.606","54429.2261666667","26794.39302","58256.3417340426","21585.7053076923","62023.0094423077","28686.4731826087","47347.3151666667","63223.3968495575","60653.3996271186"
"M156.0426T218.6","156.042597175367","218.602","1191.508","1414.30384615385","601.9687","1328.80275","1462.47880434783","1603.77717647059","1399.98347058824","1299","603.061846153846"
"M156.0776T227.7","156.077565512091","227.655","33009.0087058824","33744.8322622951","71463.913625","17901.5992580645","27041.184969697","21500.2255737705","9878.13641025641","35774.4742941176","45737.3837971015"
"M156.1777T405.4","156.177661126145","405.389","3308.44904166667","1809.77241228212","3791.82034246575","787.491250000002","3932.46253266332","1788.0559381449","1709.63847058824","3524.42763","3382.97507216495"
"M156.9622T145.5","156.962163175992","145.538","6113.7888","3772.56618421053","5546.29829999999","3253.38581538462","5803.33871232877","4181.48072727273","6793.57676271186","6314.20663636364","6240.33486956522"
"M157.0842T169.3","157.084152426177","169.315","7432.24339393938","4233.711140625","5842.5","3167.69279566956","5846.61527272727","5115.4218429387","6303.75687499999","7329.99849253731","8027.19349253732"
"M157.4607T144.4","157.460726868119","144.3705","763.947433862434","463.879577636719","710.153364701705","411.775741744827","327.6647","421.966711864407","899.171132075472","889.768207792206","885.03868852459"
"M158.1546T470.4","158.154574306087","470.364","16312.5733384615","9967.28577419355","13703.2235076923","8388.62133333332","16860.5187692307","11859.6428571429","15324.36953125","16528.289375","21820.68825"
"M158.9638T213.7","158.963824227672","213.713","53786.3753090909","23158.0725357143","45989.9519565217","21150.6428571429","79033.1659613527","25071.6428571429","54665.0008761905","82061.5804716981","68479.2821625"
"M158.9617T166.7","158.961715698242","166.699","21836.3571428571","14837.7452412481","30427.8932671233","14166.5799344262","16592.0274098361","15535.6450805664","20107.84425","18207","32486.9258741259"
