"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"52","CHEBI:17113","C4H10O4","OC[C@H](O)[C@H](O)CO","InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+","3,8-Dioxa-2,9-disiladecane, 2,2,9,9-tetramethyl-5,6-bis[(trimethylsilyl)oxy]-, (R*,S*)-",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CHEBI:49060","C4H8O5","OCC(O)C(O)C(O)=O","InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv.",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CHEBI:16000","C2H7NO","NCCO","InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2","Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CHEBI:24149","C6H12O7",NA,NA,"Galactonic acid (6TMS)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CHEBI:37661","C6H12O6",NA,NA,"Glucopyranose, pentakis-O-trimethylsilyl-",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CHEBI:17754","C3H8O3","OCC(O)CO","InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2","Trimethylsilyl ether of glycerol",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CHEBI:17270","C3H9O6P","OCC(CO)OP(O)(O)=O","InChI=1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)","*Glycerol-2-phosphate, 4TMS",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CHEBI:60982","C7H14O6",NA,NA,"Glycoside, ?-methyl-trtrakis-O-(trimethylsilyl)-",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CHEBI:69081","C19H38O4","CCCCCCCCCCCCCCCC(=O)OCC(O)CO","InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3","Hexadecanoic acid, 2,3-bis[(trimethylsilyl)oxy]propyl ester",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CHEBI:17385","C9H10O4","OC(Cc1ccc(O)cc1)C(O)=O","InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)","Benzenepropanoic acid, ?,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CHEBI:78320","C3H6O3","CC(O)C(O)=O","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)","Lactic acid, 2TMS",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CHEBI:30805","C12H24O2","CCCCCCCCCCCC(O)=O","InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)","*Lauric acid, TMS",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CHEBI:17561","C3H7NO2S","N[C@@H](CS)C(O)=O","InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CHEBI:30997","C6H10O5","O[C@@H]1[C@H]2CO[C@H](O2)[C@H](O)[C@H]1O","InChI=1S/C6H10O5/c7-3-2-1-10-6(11-2)5(9)4(3)8/h2-9H,1H2/t2-,3-,4+,5-,6-/m1/s1","Levoglucosan, tris(trimethylsilyl)-",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
