"","GD_012_matrix_RPN_RRHD_B1.mzML","GD_014_matrix_RPN_RRHD_B1.mzML","GD_015_matrix_RPN_RRHD_B1.mzML","GD_017_matrix_RPN_RRHD_B1.mzML","GD_018_matrix_RPN_RRHD_B1.mzML","GD_020_matrix_RPN_RRHD_B1.mzML","GD_010_NIST_RPN_RRHD_B1.mzML","GD_011_NIST_RPN_RRHD_B1.mzML","GD_013_NIST_RPN_RRHD_B1.mzML","GD_016_NIST_RPN_RRHD_B1.mzML","GD_019_NIST_RPN_RRHD_B1.mzML"
"group","MN","MN","MN","MN","MN","MN","SN","SN","SN","SN","SN"
"M486.2808T370.18","0","0","122.519740326097","0","0","0","5780.5809248454","4815.06068197949","4926.88722933016","4430.56861119798","4326.56826251589"
"M486.3868T540.361","0","0","0","0","0","73.8473453869422","8403.54445419927","11235.0486972394","8143.84489805777","5350.20240080847","6641.49345006598"
"M486.6588T26.1238","0","0","0","0","0","0","46511.4621307754","42122.0972114231","32874.106384962","27487.5719968713","26971.2647444916"
"M486.9264T33.3067","0","0","0","0","0","0","5078.72068366089","4660.01725322606","3306.0405800494","2971.98134366862","3316.67823060913"
"M487.1125T47.1648","0","0","0","0","0","0","8437.46649561564","7131.85099264018","7137.6861627388","6563.14634708703","4971.01960624695"
"M487.2017T292.6838","78.058157260716","0","100.964959435165","66.7402309812605","0","0","5286.22135578612","3828.97335707474","2878.01747803244","4432.45336612248","3270.83718328364"
"M487.2288T453.1502","0","0","0","0","0","0","2001.58968105899","2139.75051924705","2277.19617604065","987.358889857703","1499.20363550172"
"M487.2303T600.9235","330.051507956814","266.682736030275","292.570619569509","71.3372349927279","189.551655827672","91.5609823430423","7724.78195423131","7353.66480678087","5942.79837975082","5627.91924675463","4837.54301041665"
"M487.2903T501.1622","0","0","101.039406116431","0","0","0","22278.59331213","20090.533750617","16882.8119640827","16530.8397700196","15325.8935477539"
"M487.3268T425.898","84.4042239648123","87.1195713189693","0","0","0","63.8236911585435","37380.6235451631","37169.5903728194","31167.4126250896","26504.1168460139","24963.2623818244"
