"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M219.9724T467.6","219.972375233968","467.595092671404","208897.510723405","59818.6898237023","72155.1525669911","217680.897991924","71400.7668869128"
"M220.0772T42.9","220.07721862793","42.9129571335087","44044.9357013969","52649.541392093","54455.2726284356","45836.1593117878","31791.8568469107"
"M220.8674T890.5","220.867420196533","890.459537046987","39028.6218776039","179764.233265919","91047.9053322102","163381.177834971","168302.757725414"
"M221.0319T826.4","221.031881544325","826.392348850907","2825165.52445496","2438047.48257093","2072152.88265895","1717673.42933831","1558608.33267084"
"M221.0674T534.5","221.0673828125","534.548680104848","691491.818177306","662059.557421701","558349.857613141","371898.287115695","381731.471202076"
"M221.0664T937.5","221.066409301758","937.544305419574","41930.7294875485","35750.8946072598","37357.0345879541","30239.9982888181","21474.1757628653"
"M222.1124T410.9","222.112409920528","410.8766697201","2499448.75416805","2143381.36891713","2096876.48511498","1874792.19002405","1590235.07265545"
"M222.1121T1057.6","222.112144470215","1057.62140935783","695004.089393254","650432.034574389","573004.353508443","521084.578973556","410711.106724801"
"M223.0183T382.5","223.018335515803","382.492864239733","2332204.3889675","2193425.41805291","1853998.74874134","1660491.17984488","1212377.30404495"
"M223.0277T844.4","223.027713775635","844.413688145439","1119660.60720121","1072703.38372897","1005413.88537597","949447.083221356","719108.902296695"
"M223.071T27.1","223.070985412598","27.1405249395244","74440.7259060049","62905.3879599363","67922.1092353902","58169.4348731551","51035.3540056067"
"M223.0963T346.3","223.096292114258","346.31896633295","189560.810555419","177401.921788873","215587.095887822","117735.596127586","143544.458346992"
"M223.1154T1036.2","223.115408463912","1036.17774920682","94604.3655772166","96035.6284586118","77279.7248965704","62779.1755245274","58389.971013054"
"M223.1474T470.5","223.147356669108","470.460294284335","899510.371721082","824422.606089309","779261.546397684","599736.309826002","478039.428056497"
"M223.148T1014.6","223.147967529297","1014.57090504786","166432.861175896","119044.170992436","134121.747724566","84754.0272658161","74349.2752905794"
"M223.1676T797.3","223.167594909668","797.274592785647","290290.794010111","258087.476455333","736765.528045963","565894.953835241","166338.70024912"
"M223.8715T946.9","223.871488952637","946.851325565595","20839.9912968776","9219.40017020309","18760.411491365","14305.3670554649","29557.4607936104"
"M223.917T934.1","223.916976928711","934.059681798334","43278.8910672515","47066.152089226","42546.4462332755","35511.1895434133","27557.1298109192"
"M224.0643T407.5","224.064320882161","407.460596887986","244705.292808846","548487.791150788","195041.535102697","172641.959465259","302742.9629512"
"M224.128T416.1","224.127976735433","416.059408474581","11673185.9966647","11036456.0174632","9989005.46172699","8667680.49765389","7366912.88793766"
"M224.128T1053.8","224.128035651313","1053.83972805114","3004592.47153952","2950982.59037468","2543585.92275684","2102533.44770367","1780950.67606083"
"M224.6263T379","224.626307678223","379.019775461926","26373.4961513227","26969.0344224787","20836.1658183363","21931.9594230636","17511.028846489"
