"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M340.2843T421.663","63039.4337581587","56136.1577569823","53296.560051555","59798.8217346954","44334.1327814755","38999.5141094548","71343.1030472481","69096.6568602848","62604.4399188833","65344.004808598","43762.2576663514"
"M340.2902T576.249","170398.239153288","147740.741576706","142495.702372711","129781.92018369","121827.479948918","106227.081442359","201563.778480874","186915.471980335","174774.976646981","153353.803654332","114131.613421513"
"M340.3573T658.448","250881.00374576","228900.654217956","216804.146933388","181775.710859198","187513.61542367","164486.980057214","159926.792204517","158989.537076728","148612.501856067","130556.506922301","115280.846173588"
"M340.3935T492.5065","110400.864257031","97974.9573594958","89797.2788329833","78843.8313102438","77715.2242754569","68504.7137432617","35944.7971855905","33749.1714317615","31274.492839772","24042.2235229877","20287.9388465382"
"M340.6838T451.824","1266.54837386839","1371.09671908281","907.584525840072","1329.83968780311","1039.97503489316","636.556831597538","67357.8380533369","55007.8210534648","54634.8215186691","46114.785109743","38392.5285294343"
"M340.7299T541.557","460.879902071869","513.223364460875","218.599793221907","440.713698209952","378.536678499817","459.669034166092","12718.539203986","14469.7591078663","10250.3263157052","11759.0740648553","10190.2409317017"
"M340.7936T30.413","901.621711198286","712.565031167379","682.676545762537","679.082225972419","1302.34618276476","872.531265089848","11310.1827025091","11651.1301387939","12368.7389671674","8689.72687309774","9496.48856998291"
"M340.9289T942.491","117085.035176448","102093.184864666","97206.9065004569","87132.2847187976","82089.3070169238","70274.2650180816","129903.8656427","123124.430902556","109999.973146545","90496.2213079831","77941.6209421073"
"M340.9638T949.151","29982.8249264705","33293.659543091","26013.5520049212","27097.8686420668","25341.4706116103","23842.5134354003","34030.5150583647","27857.6528243816","26040.4306194456","26650.6244148439","23250.7311227769"
"M341.0178T466.4645","12654.1096223503","13169.5863751749","18446.7030031677","10905.8740634358","15417.2461600868","12588.6211087369","9718.65162154588","8365.73767703381","6616.55603196538","6851.76027735278","7347.9556089717"
"M341.0176T710.534","40797.5059187896","39551.7494088158","40551.3298273939","39913.3984133606","42541.9299216123","39298.6314799215","8823.59244731648","7448.23720220709","6502.81075169605","5123.4791729179","5515.06254430296"
"M341.0297T480.3935","15052.0591571507","16227.2949536336","15697.4276106094","15080.829013633","15339.8276458588","14587.9517548907","5127.13134754882","4961.72321037482","4465.37406375713","3182.58819820457","2800.97041170974"
"M341.1915T481.449","45525.3089648992","41524.9068124809","36932.7954784773","34490.0050585294","31846.0334787098","29855.0618092135","96591.7392818804","90192.062290727","43652.7207624277","67883.5064296853","65771.0882659206"
"M341.1981T631.801","110457.312117443","100274.438360414","99281.6527249362","92652.9810289346","87957.4552082845","79394.9320438964","121120.397469129","121096.602797171","118464.630491643","101622.707393011","87837.4220665735"
