"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M543.2438T79","543.24375862549","78.9721000000002","159774.151656701","206936.188369897","140188.106008391"
"M543.2719T400.8","543.271880447671","400.8055","28482.8616293131","34087.0483996198","24573.6829864143"
"M543.3449T582.2","543.34488158025","582.229","32313.3473047667","39370.3346199065","25153.9571877893"
"M545.2464T511.6","545.246379032089","511.551","123935.815829719","69332.0493010607","4152.46255985144"
"M545.338T458.2","545.33797712866","458.185","67843.4586587058","138121.564198117","78742.6893477024"
"M545.338T576.6","545.337952324323","576.6185","154314.936505738","22257.1210173456","17374.5032084107"
"M547.2266T341.1","547.2266143627","341.147","12985.1946355924","23430.0048961047","64244.8754022522"
"M547.2434T511.7","547.243373425293","511.6885","87202.5970301885","54880.8475123747","783.659996515445"
"M548.7463T593.2","548.74627275615","593.151","68353.6159770008","135194.282513739","164933.582286859"
"M549.119T305.4","549.119015719433","305.3725","1480.61301904347","54361.5421231733","167223.796449673"
"M549.2232T335.7","549.223208692204","335.692","27723.5737662617","70149.2682500002","48853.6851521812"
"M549.2363T78.9","549.236339973782","78.861","15234.8093326701","18858.4261653212","16271.7762202854"
"M549.3421T457.6","549.34213782061","457.577","165786.377764474","366041.312689453","253303.032420015"
"M551.1184T310.5","551.118355544543","310.5125","136419.717166636","44431.242256279","13351.783153533"
"M551.2964T508.5","551.296356517891","508.471","54331.7368837689","110414.172887744","61130.2749026036"
"M551.3217T608.2","551.321655219894","608.1975","114250.286154782","295739.466487574","196586.087612351"
"M552.7645T689.5","552.764546756284","689.4525","0","201586.52739546","692842.366574462"
"M553.2923T424.7","553.292322622063","424.663","94653.0860546871","253794.497372189","303616.726390903"
"M553.2924T514.1","553.292403053265","514.073","67911.5811432153","197178.872111626","205607.440393265"
"M553.3135T600.3","553.313500866925","600.2835","133368.766897116","275123.021719454","191863.165279487"
"M554.2956T424.7","554.295620298133","424.663","38247.3666860519","85156.0439512396","104455.708799017"
"M555.1902T317.4","555.19018135575","317.367","114629.119841148","69085.3652569703","37081.1846087325"
"M556.2671T602.3","556.267137925595","602.251000000002","40585.5249457805","69046.151174107","43391.6864807012"
"M557.1864T314.2","557.186447642241","314.165","37206.1350730041","63179.9238216147","63706.5252867052"
"M557.7637T690","557.763682854798","690.018","3153.59634933727","190525.886697368","716164.235727398"
"M559.7617T689.5","559.761672390187","689.4525","0","85879.9303662514","451386.991769964"
"M560.7561T689.7","560.756113875019","689.732500000002","2624.40361953865","147524.460339907","572795.290170324"
"M562.1764T866.4","562.176357206219","866.397","397859.898476309","1071980.48643294","401495.440081828"
"M564.1731T865.8","564.173056725432","865.8015","564579.005056567","751121.749748746","236584.318554329"
"M567.2994T602.2","567.299399854893","602.242000000002","36962.4565621163","84134.3202257383","58673.2666568716"
"M569.2439T410.2","569.243874936588","410.22","35032.4166001675","44521.1000335117","72751.8560066023"
"M569.2803T437.2","569.280250334706","437.192","30605.8382796223","45984.8426681374","44233.0633208204"
"M572.1667T296.9","572.166664992073","296.938","164917.050911593","644062.721897591","917192.063936896"
"M572.2055T80.7","572.205484364739","80.6584999999998","251893.007653743","369285.279562849","142715.329101747"
"M573.2459T408","573.245882096481","408.0485","685.851287551224","16340.0578083007","27196.1128417966"
"M573.3058T457.3","573.305762242369","457.288","279400.325441162","1376743.82232265","548912.251670973"
"M574.3091T457","574.309082193182","456.989","97332.8991939312","501451.828574016","189509.157203162"
"M575.1642T291.3","575.164183193181","291.3075","14216.0069022328","241032.77582237","264936.82581543"
"M581.1762T438.9","581.176164667772","438.9035","28124.0405447458","35187.8157547434","22199.7743360017"
"M581.2424T399.9","581.242441030862","399.891","108536.886001674","88316.3400919188","81267.0721262722"
"M582.1899T172.9","582.189879526648","172.873","975348.670650766","1519080.52036554","1182882.33005819"
"M584.1849T172.2","584.18489990155","172.2495","3146001.28195821","118674.767588776","76006.9053194139"
