"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M551.5T670.8","551.5","670.8","2034.3","2450.6","2026.1","1852.8","2756.9","2129.4","1299.8","1167.2"
"M601.52T651","601.52","651","1278.8","1820.7","1292.7","1335.2","1623.2","1589.4","1931.3","1049.5"
"M897.73T669.6","897.73","669.6","126861.5","130560.5","62191.3","63654.5","108787.8","70339.7","35106.5","30658"
"M369.35T645","369.35","645","1950.5","2646.9","2390.8","2541.5","3709.9","4356.9","2290","2500.9"
"M925.76T692.4","925.76","692.4","64939","66198.1","31840.3","32259.3","63729.3","31998.8","15083.9","15668.2"
"M931.85T694.2","931.85","694.2","8649.9","20663.9","4550.6","8826.3","34358.9","3117.3","2594.7","4489.8"
"M808.74T632.4","808.74","632.4","17155.1","13713.4","3880","4485.3","5069.3","3111.2","3410.4","5736.4"
"M848.54T321.6","848.54","321.6","89885.6","94315.2","102737.8","101227.8","92196.6","94348.8","96842.7","96571.3"
"M1162.85T351.6","1162.85","351.6","16048.9","13454.5","15511.9","15000","10347.8","9223.2","10454.8","10428.4"
"M627.54T306","627.54","306","1153071.3","1311716.5","1331935.7","1338170.1","1230036.2","1388919.2","1270280","1295168.8"
"M909.55T306.6","909.55","306.6","709707.6","797016","817481.1","818184.2","769155.6","880067.5","807489.5","799923.4"
"M577.52T670.8","577.52","670.8","13275","3546.4","2477.9","1901.7","2600","2338","1697.8","3642.5"
"M876.57T358.2","876.57","358.2","68470.2","72188.7","72107.1","71472.2","63824.4","70336.7","66220.3","67497.7"
"M577.52T304.8","577.52","304.8","254279.6","221644.2","225925","220332.5","406852.7","363879.7","426497.2","318272.8"
"M866.54T355.8","866.54","355.8","27774.7","29497.6","25010.3","35078.5","17054.7","27154.1","26568.2","22059.8"
"M776.58T307.2","776.58","307.2","10462.6","12658.5","15945.5","16270.7","12798.1","13024.7","15221.5","14311.5"
"M603.53T322.8","603.53","322.8","5909.1","7513.5","5156.4","7711","11935.4","10662.2","5548.1","9276.5"
"M603.53T672","603.53","672","1793.5","3952","1675.6","1992.7","1385.6","2865.8","1906.7","1044.4"
"M850.55T351","850.55","351","175149.7","209768.8","201640.1","215471.7","215672","259052.8","221381.5","224261.3"
"M874.55T325.2","874.55","325.2","45304.8","47173.8","48152.4","47330.4","40571.4","39154","42974","43986.5"
"M874.55T331.8","874.55","331.8","18456.6","18431.2","17201.6","21084.9","18891.8","19409.8","15400.9","20024.8"
"M872.54T318","872.54","318","27931.7","32120.8","44088.1","45993","40421.7","43035.3","48227.3","34848.3"
"M878.59T393.6","878.59","393.6","43106.6","38954.8","41478.4","40390.3","25793.6","23941.6","30750.2","30419.9"
"M867.54T353.4","867.54","353.4","4984.4","13642.2","9725.3","14813.4","14599.6","15037.5","14287.8","12947.2"
"M688.6T520.8","688.6","520.8","12537","11219.6","16079.2","16688.4","12356.1","14227.5","15646.6","14495.8"
"M538.52T355.2","538.52","355.2","26089.4","27038.4","32640.6","35049.6","10585.5","30108.8","28010.5","29895.2"
"M638.58T438","638.58","438","10178.2","10190.6","4915.3","9388.3","12227.8","6158","4764.2","4973.6"
"M664.52T292.8","664.52","292.8","7160","6894.4","8513.7","9319.5","7267.7","8778.3","9744.7","9325.1"
"M690.53T326.4","690.53","326.4","13076.1","12069.6","14768.3","12027.5","31119.6","34014.7","18474.7","12320"
"M754.73T654.6","754.73","654.6","933.4","1503.6","1862","1470.7","3358.2","2157","1700.3","1238.9"
"M732.56T382.2","732.56","382.2","33785","36905.5","37588.3","36344.8","33481.9","37079.9","37730.7","35475.4"
"M730.54T345.6","730.54","345.6","17601.7","18879.9","19239.9","19134.3","19628.6","21201.6","20772","22016.3"
"M780.75T655.8","780.75","655.8","1502.1","1898.3","1282.5","1821.7","4487.1","2184.6","1751.9","1541"
"M815.75T703.2","815.75","703.2","6104.5","9970.6","3667.3","7384.5","24588.6","3605.2","4958.4","5480.4"
"M813.73T680.4","813.73","680.4","3197.9","3300.5","3391.7","4385.4","14105.3","2307.3","3764.2","3099.8"
"M808.77T697.8","808.77","697.8","1261.4","1531.6","1918.7","1608.4","3636.2","969.6","1992.7","1853.3"
"M806.76T658.8","806.76","658.8","751.9","871.5","395.1","677.6","4941","911.3","2290","524.7"
"M806.76T674.4","806.76","674.4","785.1","824.1","826.7","719.8","1319",NA,"690.4","1016.2"
"M824.8T709.2","824.8","709.2","1041.6","638.5","638.2",NA,NA,NA,"491.4","744.9"
"M822.79T690","822.79","690","945.6","1190.8","889.5","968.6","877","917.4","700.3",NA
"M838.82T717.6","838.82","717.6","27342","27702.8","19839.6","21084.9","27409.7","8051.1","10194.4","7300.4"
"M836.81T703.2","836.81","703.2","13419.8","13495.5","9380.9","13049.5","59803.1","6753.2","4552.9","4459.1"
"M834.79T697.2","834.79","697.2","736.2","776.6","389","513.2","2303","813.1","597.1","711.6"
"M832.78T661.2","832.78","661.2","1050.3","642.8","699","786.4","1720.7","997.2",NA,"906.1"
"M832.77T676.2","832.77","676.2","704.8",NA,NA,"868.6",NA,NA,NA,NA
"M830.75T652.2","830.75","652.2","392.5",NA,NA,NA,NA,"1092.3",NA,"1064.9"
"M852.83T720","852.83","720","3279.9","2849.7","2727.1","2419.3","1366.6","1162.9",NA,"1044.4"
"M850.82T709.8","850.82","709.8","4564","4316.6","3207.3","4194.3","3301.1","2157","820.7","1359.2"
"M848.8T692.4","848.8","692.4","840.9","1054.9","595.7","710.9","560.9","622.9",NA,"734.6"
"M866.85T724.8","866.85","724.8","17266.7","15678.6","12183","15679.8","9442.3","5084.1","4766.7","4638.2"
"M869.79T716.4","869.79","716.4","39725.5","37835.2","27399","29982.2","72106.9","12270","11985.6","11547"
"M867.79T703.8","867.79","703.8","13248.8","11843.1","7654.6","4807.5","33572.3","5495.2","4690.5","2790.1"
"M862.86T728.4","862.86","728.4","584.5","746.4","903.6","715.3","808.1","920.5","879.6","888.2"
"M860.81T683.4","860.81","683.4",NA,NA,"950.2",NA,"1554.3","948.1","1115.5","880.6"
"M860.81T697.2","860.81","697.2","764.2",NA,"431.6",NA,"2070","481.7",NA,"814"
"M858.79T676.2","858.79","676.2",NA,NA,NA,"744.2","1725.4","892.9","805.9",NA
"M522.36T98.4","522.36","98.4","2475.6","3199.1","2090.9","4567.5","4040.3","3117.3","2806","5116.9"
"M550.39T158.4","550.39","158.4","692.6","1016","1238","1195.2","1266.7","1491.2","1145","1515.4"
"M524.37T148.8","524.37","148.8","6856.4","5764.1","9958.3","9574.9","3930.9","4068.5","4145.1","7574.3"
"M692.52T288.6","692.52","288.6","69108.7","71612.7","78084.1","74886.7","91436","104627.5","106811","104066.2"
"M706.54T295.2","706.54","295.2","4370.3","2325.5","6106.7","1970.5","2645.2","2117.1","3575","4628"
"M718.54T296.4","718.54","296.4","121357.2","131214.1","136352.9","139047.7","151391.3","156112.8","158886","155038.2"
"M734.57T334.8","734.57","334.8","14717.8","12382.4","23517","11076.7","10034.1","17071.8","30666.6","16418.2"
"M734.57T348","734.57","348","5448210.6","5605462.6","5784419","5746001.8","5648424.8","5932391","5871970.1","5843376.2"
"M732.55T318","732.55","318","2314989.7","2459584.7","2522890.9","2630069.5","2277716.1","2492996.9","2499703.8","2492100"
"M732.59T344.4","732.59","344.4","46613.3","47620.3","53673.6","54672.7","49127.3","50678.4","54795","54660.7"
"M730.54T300.6","730.54","300.6","115811","120639.5","129099.4","130143.7","146647.5","155505.3","157008.8","158227.7"
"M730.54T305.4","730.54","305.4","104425.5","28373.7","114529.7","25556.9","127430.1","139608.7","137521.9","30855.1"
"M748.59T369","748.59","369","212355.9","206379.8","217863.1","211195.2","216948.2","225642.5","223123.5","224013"
"M746.57T363","746.57","363","10717.3","11582","34079.1","8886.3","12123.2","39819.8","36703.6","38329.5"
"M744.53T307.2","744.53","307.2","99571.9","115399.7","113757.7","119811.2","117911.7","135534","127369.3","131084.2"
"M762.6T390.6","762.6","390.6","1299062.8","1188143.2","1287886.1","1232343.7","1358195.9","1436474.1","1542839.6","1538272.3"
"M762.6T375.6","762.6","375.6","12669.6","16327.9","10227.8","14473.5","14749.4","13613.8","11339.4","16425.8"
"M760.59T352.2","760.59","352.2","11480240.8","12269118.4","12619517.7","12611014.2","11364082","12282497.2","11693248.5","11557792.8"
"M758.57T309.6","758.57","309.6","341330.2","25150.9","451236.1","189004","27328.9","159267","520273.5","140552.7"
"M756.55T305.4","756.55","305.4","161646.2","162314.6","168018.9","169856.3","184485.8","191621.7","182228.1","182404.4"
"M774.6T372.6","774.6","372.6","421670.9","424374","433519.8","430054.8","369477.9","392417.5","394597.1","388535"
"M790.64T432","790.64","432","42136.6","38135.1","40414.7","40723.5","51715.4","55471","59003.9","58003.7"
"M788.62T381","788.62","381","8424.9","10371.8","12495","5802.7","15721.4","28409","29482.3","17083.7"
"M788.62T394.2","788.62","394.2","2240989","2188663.5","2329851.6","2267890.2","1685695.4","1721508.8","1852569.7","1775322"
"M784.58T351","784.58","351","65389.1","214669.9","51726.5","105584.3","213701.7","233856.2","63760.8","211411.4"
"M784.59T343.2","784.59","343.2","51105.8","64843.4","56404.8","68342","59506","72978.4","48082.3","65163.3"
"M780.55T282.6","780.55","282.6","82921","85474.9","111510.8","110998.2","111147.8","106483.8","131030.3","129151.6"
"M802.63T414","802.63","414","30032.2","30636.6","31582.9","32434.8","27937.3","30848.2","29374.2","29910.5"
"M794.56T310.2","794.56","310.2","9565.9","35218.5","19742.4","22846.6","12938.4","13982","12575.3","13343.9"
"M816.66T429","816.66","429","45734","46865.3","49586.9","51893.5","45001.5","45315.1","42381.9","48632.5"
"M812.62T393","812.62","393",NA,"48916.8",NA,NA,NA,NA,NA,NA
"M812.62T363","812.62","363","228267","261809.2","241524","282012","277953.9","284912","293641.3","262411.6"
"M812.62T372.6","812.62","372.6","122646.5","124000.5","154543.3","148900.3","26877.3","23573.4","48495.1","23900.3"
