"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M543.6368T198.2","543.6368","198.22769","266.8457","48.0384","131.1216","160.128","32.36336","46.04317","93.7416","43.36243","81.38794","51.72231","1571.73","1675.871","1950.393","1620.295","1822.272","517.1464","764.2776","375.7012","762.2361","490.9789"
"M543.7201T26","543.7201","25.985326","9010.409","10682.51","9501.831","11230.53","5112.529","8125.784","7488.234","6636.404","7858.971","7718.303","1116.534","398.9388","723.2059","883.5423","609.2113","1802.54","1449.764","1413.292","1063.882","387.3688"
"M544.1367T198.2","544.1367","198.183777","230.184","141.4314","93.75152","270.9119","51.38527","130.13","128.7696","195.1354","109.766","115.115","1560.986","1535.534","1851.163","1337.73","1697.69","521.8608","631.5048","738.4338","637.9314","428.2518"
"M544.1841T275.7","544.1841","275.672685","3502.8","2541.585","2128.441","2663.753","1050.243","1755.654","2125.79","2050.109","662.1333","671.5368","7311.638","5353.59","5504.55","4549.497","4869.319","4590.4","3266.783","5190.385","5233.228","4668.354"
"M545.1411T197.8","545.1411","197.770563","581.0789","224.16","410.7355","448.3584","56.38347","184.23","262.4757","272.5757","134.1313","188.1673","2924.505","2841.505","3112.682","3381.486","2922.793","1005.557","1251.808","1876.875","1678.541","1234.127"
"M545.1622T416.3","545.1622","416.33064","343.2744","494.2232","686.0961","814.5173","271.2592","294.9265","327.3419","327.713","259.5683","327.0047","9805.239","4778.202","7535.588","2838.847","5413.688","7037.2","8130.16","7115.775","5647.522","5314.991"
"M545.197T276","545.197","276.041485","16790.01","10949.86","9153.307","11521.18","5209.858","7523.6","9069.186","8720.062","714.7195","664.2435","40995.29","30280.22","31606.04","30516.39","27890.82","23971.57","22466.03","30379.18","23712.04","21241.04"
"M545.198T262","545.198","262.042274","3565.918","2711.896","2567.231","2517.679","1416.081","2242.683","2099.659","2133.465","390.468","264.634","9345.619","6782.964","8453.761","9432.757","7758.247","5741.256","4919.41","6910.904","5250.19","4584.876"
"M545.3786T986.8","545.3786","986.753339","4500.604","3628.059","3425.616","3712.11","951.9342","1669.668","2717.803","2503.334","2375.163","2082.481","4177.006","2287.345","2662.47","3883.104","2177.711","2099.628","1869.334","2067.421","2356.764","2928.674"
"M545.4004T888.6","545.4004","888.609908","7259.075","4004.466","4829.707","4291.692","2333.941","2679.227","1133.59","3364.841","2749.472","3132.053","4657.654","3469.627","3333.426","3779.354","3646.727","3652.253","3086.87","2823.859","3372.89","4362.007"
"M545.7183T25.9","545.7183","25.933753","4262.237","5139.082","4696.875","5442.017","2232.8","3933.72","3795.771","3622.027","4139.573","3973.819","542.8521","313.3272","411.0048","320.32","375.0584","1124.62","519.8083","764.58","450.4079","252.5747"
"M546.1564T320.4","546.1564","320.412046","23368.09","9212.727","13251.73","20526.17","5300.035","11235.65","12600.82","12478.37","7554.124","7232.534","15813.46","12838.27","18274.77","19914.55","17964.82","15238.13","13617.72","7524.348","10853.76","6729.007"
"M546.1655T416.6","546.1655","416.571239","304.3178","166.8571","269.9486","323.9521","96.10036","150.4905","122.4812","201.5109","147.4994","123.1286","3046.769","1337.536","2258.77","856.0176","1627.1","2196.194","2273.988","2131.516","1461.64","1393.992"
"M546.1995T276.1","546.1995","276.067246","4814.612","3222.665","2645.732","3208.472","1468.507","2455.898","2456.014","2413.215","255.5376","287.6102","12082.43","8805.425","9420.705","9123.626","8102.327","6603.428","6574.069","8036.362","6691.644","5940.873"
"M546.6042T248.6","546.6042","248.597662","909.06","420.39","771.4913","767.0778","292.3264","628.5966","511.6986","707.094","354.996","533.1492","412.2139","144.4946","268.9669","357.4233","243.2201","355.6176","159.8124","283.9893","150.5551","120.4161"
"M547.1436T197.8","547.1436","197.770563","2384.442","567.018","1111.173","2181.744","307.5792","540.8629","630.45","697.0098","333.0183","338.6649","58743.81","41877.74","66249.42","55963.44","52749.45","9303.8","15374.62","18975.62","16627.49","10217.17"
"M547.1588T320.4","547.1588","320.406625","6336.608","2500.666","3867.633","5452.782","1466.674","2726.513","3280.135","3575.483","1661.12","2269.934","4559.002","3635.966","5301.971","5471.752","4742.346","3781.022","3654.207","2271.525","2843.628","1782.091"
"M547.1955T276.1","547.1955","276.095675","763.7085","1022.944","1048.53","990.7129","393.7188","504.9385","825.7307","960.8503","151.788","228.8908","2680.73","2089.065","2131.719","2440.045","2187.051","1843.122","1341.814","2229.965","2022.456","1781.337"
"M547.2339T405","547.2339","405.011141","7791.061","9421.593","10901.45","14286.32","4517.945","4557.228","3872.762","3018.317","4295.366","4145.981","6613.607","4680.365","6038.043","6794.662","5338.927","2737.639","4910.897","5271.974","2423.272","1971.636"
"M547.2345T420.2","547.2345","420.238733","3713.588","898.6414","973.0275","1222.206","637.9475","787.4272","1047.838","1059.938","738.3024","744.8996","2919.75","1941.321","3711.634","1080.795","2481.317","2295.756","1961.568","2343.941","1677.277","2077.994"
"M548.0373T189.5","548.0373","189.48845","2487.598","1993.111","1900.422","1693.658","604.0047","1732.857","1104.994","650.8125","2006.173","1848.962","6386.288","5451.618","5516.22","4051.421","4218.736","3833.663","4465.532","3755.373","4394.17","3920.641"
"M548.0597T169","548.0597","168.991583","631.9748","278.9097","288.6263","382.3056","234.9051","358.0043","353.8987","269.2539","296.2368","332.6471","5011.993","3409.392","5070.688","2807.369","3466.669","1451.45","2229.244","1417.75","2248.374","1967.37"
"M548.1481T197.8","548.1481","197.795012","1180.61","453.3171","597.597","1018.147","215.215","439.0176","522.0318","498.732","272.272","401.1145","16702","12275.8","19214.54","16535.11","15190.99","2824.258","4440.97","5516.242","4829.725","3674.87"
"M548.1538T157.5","548.1538","157.485601","1131.185","648.7195","715.7051","886.7638","347.3668","504.468","650.014","622.2798","456.4214","423.0591","7569.718","4296.833","9071.338","6061.994","8579.914","1842.694","2939.35","2155.533","2542.962","2430.276"
"M548.1807T194.5","548.1807","194.536784","1197.958","371.13","456.9331","642.2312","116.4031","445.2225","520.65","505.707","300.8395","272.5512","7307.035","5625.497","5980.447","4850.633","4665.204","2767.902","2558.424","4757.538","3148.183","2409.046"
"M548.2355T404.9","548.2355","404.921408","1863.29","1904.671","2535.377","3229.322","1046.837","1049.048","923.8049","859.2215","1189.789","893.9289","1996.503","1151.587","1771.798","1705.549","1198.76","781.1737","1148.918","1341.406","236.138","553.1884"
"M548.6836T194.6","548.6836","194.558738","758.7883","281.6597","251.9586","370.7777","34.71104","282.3525","351.7409","243.6156","241.802","161.2013","3909.458","3288.356","3459.432","3405.722","2615.278","1147.91","1467.972","2871.756","1850.654","1247.277"
"M548.689T22.6","548.689","22.615599","816.408","1140.86","950.4821","1032.623","1831.888","939.5063","1259.848","858.9446","1385.534","1376.56","178.1241","100.1134","155.8239","177.7905","121.1901","497.4471","544.7035","333.5743","308.8819","252.0621"
"M549.0399T189.3","549.0399","189.344201","635.376","418.266","384.3072","309.2145","240.2682","366.0366","324.8576","457.6992","459.5442","415.7096","1504.974","1212.878","1369.531","938.4206","1085.357","805.887","970.6804","1091.736","699.699","978.9895"
"M549.2683T375.9","549.2683","375.919599","5298.017","5333.72","5359.061","5374.699","5089.65","5278.976","5397.334","4883.744","5037.857","4784.825","5840.335","5413.327","5754.6","5243.132","5183.243","5227.316","5062.745","5038.441","5226.323","4894.614"
"M550.1919T60","550.1919","59.957686","15789.47","14536.97","16132.13","14296.25","11650.68","17058.69","19161.38","18958.83","14158.65","14801.1","21353.12","14238.06","15413.68","15625.65","13730.59","11214.9","9799.773","9429.994","8511.874","6278.509"
