"","mz","rt","NEG_SF.100109.114720","NEG_SF.100109.121711","NEG_SF.100109.124896","NEG_SF.100109.124904","NEG_SF.100109.130034","NEG_SF.100109.169058","NEG_SF.100109.199550","NEG_SF.100109.231142","NEG_SF.100109.244079","NEG_SF.100109.227718","NEG_SF.120831.00062","NEG_SF.100109.255622","NEG_SF.100109.239012","NEG_SF.100109.259700","NEG_SF.100109.142930","NEG_SF.100109.146730","NEG_SF.100109.199546","NEG_SF.100109.225118","NEG_SF.100109.252159","NEG_SF.110121.00073","NEG_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M345.0096T53.1","345.0096119","53.10100002","174.5571608","197.0131361","453.4465467","1586.535784","213.5165816","204.997956","246.572115","1683.418428","2553.535184","2840.59028","1132.194028","1269.807232","835.7754352","2093.282163","4051.453655","2956.03865","3019.289186","5401.496964","3651.150985","5367.866359","4340.861156"
"M495.0634T43","495.063376","42.957","543.5786822","1091.967616","649.3584109","1241.446244","602.405773","1225.308938","1075.156003","2891.027918","1533.222232","3027.649861","1834.314467","1834.270305","1901.698941","2654.091997","3671.408097","2674.602521","2829.237246","3298.053396","3289.431447","5367.549443","3689.623162"
"M221.983T37.9","221.9830268","37.88500002","264.3245377","396.2774705","430.7234119","698.3666999","345.5249286","405.8165994","476.4113195","1501.787145","2911.573278","1967.562242","1905.915562","854.9364374","1668.524935","2503.634031","1758.147486","1597.865862","4255.331192","6903.219131","5602.922462","6682.818178","2776.485939"
"M561.0353T41.9","561.0353027","41.94199998","993.1329073","1179.48814","1113.128375","1074.148101","965.9438447","1070.219497","1124.146373","1873.544111","1474.112531","2213.792817","1524.518391","1385.500306","1694.972322","2154.122938","2269.818778","1891.281645","2654.405189","3694.587013","4078.109185","4306.787292","2909.885072"
"M280.0211T54.1","280.0211085","54.11500002","619.513442","781.8416891","809.7363427","2264.008904","647.4853856","621.4694746","546.7411737","2744.855826","5927.583869","4598.026035","2377.909902","1672.439548","1157.841722","4912.699412","6703.921111","6112.609661","5608.6677","12761.8458","17735.18675","8981.015105","11777.61644"
"M634.0933T41.9","634.0933374","41.94199998","316.6657666","406.9888239","290.5836276","423.6670242","251.5487529","408.8361219","412.4064604","1017.304825","799.0198691","1085.340784","913.8451586","523.5926777","627.3351873","1339.333332","1076.575133","868.70485","1102.105586","1463.145162","1750.741924","1989.487883","1300.612841"
"M983.1866T70.5","983.1866311","70.518","205.4369963","417.1696355","317.9851829","673.9944972","258.271716","273.6375211","318.5297056","961.9688255","1541.303392","3275.208556","1033.238098","872.4404508","629.4751404","1486.403114","1460.759095","1606.580168","2814.19331","3014.497315","2609.894762","1913.303433","2686.389032"
"M323.0285T53.1","323.0284972","53.10100002","9521.410232","9460.34236","14620.69643","53140.8658","10270.67999","9226.687597","14579.01587","73964.48632","181319.1471","143633.1869","63915.84039","45568.94449","22963.88257","163379.8861","200459.3109","180680.6392","156126.6231","379387.7281","544473.1215","252876.7103","343758.558"
"M713.1255T37.9","713.1254621","37.88500002","46.51447029","76.31019083","41.25233706","102.2493291","86.30975896","40.99394235","65.28692637","443.7728427","329.6355015","472.3159425","421.3026865","117.9598401","225.2606091","245.9033298","335.5952894","314.9441752","1104.177471","1720.029519","1087.565365","1025.662096","491.8132779"
"M778.0417T49","778.0416547","49.04299998","668.0482348","968.4799553","712.4471139","1046.67674","723.1081408","766.9643018","805.1506733","1472.186148","1731.966303","2772.272271","1445.500127","1622.479323","1258.702481","1975.932407","2255.566022","1403.651378","2412.958797","2585.303513","2539.34343","2565.122909","1977.819398"
"M797.905T589.8","797.9049595","589.79599998","68.54784114","51.42158398","180.2309075","338.4781424","105.167414","105.9071912","44.00808784","1053.951002","1192.394851","643.6612302","1723.334571","492.9140478","366.0293925","1403.943845","738.4666418","1148.896152","1030.63676","1947.014296","1696.736686","1296.257701","1024.67029"
"M192.9889T57.2","192.9889372","57.15799998","300.0969631","294.6376931","425.2653049","618.375125","283.1572091","341.9301318","318.238724","836.9282647","1367.900164","1379.466891","670.188845","616.7226157","539.0137483","1360.645818","1440.955797","1342.646136","1444.837402","2777.947076","3943.507431","2392.639232","2522.606228"
"M511.0383T41.9","511.0383447","41.94199998","341.0266694","561.5393109","410.756775","640.2880187","373.2874725","553.06606","482.8337025","1294.077138","975.7577358","1355.066834","1246.098482","675.6471951","940.5465874","1698.543383","1398.638729","1221.520619","1714.588052","1780.861","2877.735302","3151.589581","2490.296186"
"M568.0254T75.6","568.025395","75.58999998","491.0142421","418.6458469","678.7877326","778.1207697","454.4770921","358.9079138","554.1459039","832.1620007","1005.329225","1560.94057","765.6356663","841.3615492","788.6384797","1378.755504","1360.389939","1492.027718","1756.714967","3034.758121","2947.437634","2924.717426","2222.676561"
"M666.0155T45","666.0155383","44.985","1149.873861","1202.115483","1512.437973","1107.109775","1140.158578","1538.823257","1720.164653","2906.705433","2913.957542","3804.739825","1842.928473","2284.588071","1908.985815","3925.040289","3613.327805","2731.814999","3508.311983","4365.651142","4267.916702","4778.835638","4235.243089"
"M669.0448T53.1","669.0448332","53.10100002","461.6088981","491.6334122","640.5064732","1404.36902","505.732317","592.9256881","537.9048793","1974.993987","5328.75587","3263.498886","1226.549246","1076.275385","717.7806887","3319.361265","7465.693371","5753.177847","3304.586226","11114.40677","9226.956223","7793.310321","10208.1027"
"M933.1502T41.9","933.1502138","41.94199998","252.5250301","439.9528504","267.4748153","449.9566695","285.590133","313.3243227","348.1168696","1192.237271","754.3795191","927.0954034","887.491325","776.3691416","656.8112015","1267.619492","1026.031595","930.0545078","1152.778253","1366.416422","2667.87503","2528.373254","2850.238312"
"M697.8347T385.7","697.8346604","385.69900002","1028.848252","1006.682337","878.653159","437.3427601","1447.235141","929.8199533","858.6563918","111.8807864","132.4703055","196.039781","151.7991753","173.3274986","169.3584399","61.07250288","295.4291417","210.9403299","214.9958546","90.47402374","114.3175584","45.04674311","119.8025444"
"M267.0698T38.9","267.0697876","38.89900002","81.58078516","162.9783444","76.5474155","261.7374983","158.5673866","74.52558708","137.640423","507.5139711","563.8730069","777.6857131","679.8351736","345.507435","685.3161029","597.7441419","1878.056595","368.5347584","1030.511578","920.3509575","2633.456619","984.9367096","973.6457305"
"M587.7935T437.8","587.7934946","437.79","1006.382549","950.9983908","895.7620913","711.0723065","1095.918129","897.0869415","965.3611668","94.20853061","132.910905","205.4158644","148.6732567","211.7800424","351.4723748","154.4607051","316.2610148","309.4724963","414.2904694","148.4740478","125.6359151","186.8531644","95.80657379"
"M595.0597T37.9","595.0597384","37.88500002","64.02410015","110.8122854","56.34025434","113.0286854","104.0845193","65.32082839","101.9982426","200.8078234","483.6779453","428.1685327","357.2908551","201.2239076","238.7271648","342.8297597","253.9683101","277.4265478","640.0277015","700.7721974","508.2772362","625.8847362","298.1760062"
"M998.4348T571.5","998.434797","571.536","635.9544226","703.2963617","744.9936035","745.446817","724.42085","545.9720665","500.5972149","2358.559032","4271.921544","2402.987584","2815.279479","5463.729682","7221.740526","7175.937987","5880.535087","5719.48511","1737.355658","5932.367664","9504.632826","12600.55093","2592.110319"
"M800.0311T49","800.0310657","49.04299998","1336.557795","1923.882198","1533.614443","1651.3492","1530.912978","1438.445325","1440.35687","2659.305234","3343.881094","3732.998217","2750.082272","2233.602966","2409.168421","2798.64781","4219.347994","2209.203586","3900.520679","4034.367159","5056.178096","3837.001071","3528.878266"
"M473.2001T185.8","473.2001341","185.844","191.1157168","293.768086","83.03445802","763.2569654","291.6799135","139.5527862","359.5733443","1625.890251","1840.093099","1301.054834","1257.186208","946.5429342","719.9028542","1916.115543","1627.981884","1861.753899","1831.958993","3829.9678","3942.839602","2118.011152","2223.256969"
"M612.1132T41.9","612.1131874","41.94199998","372.8118812","794.6858866","323.8037053","1135.927021","432.6787724","699.2601121","705.3058556","3203.222831","2920.016749","2996.789448","3614.031551","1440.168686","1770.616308","5352.833604","2580.47056","2840.451208","3931.341094","5640.221769","10765.46657","7922.12448","4644.545463"
"M888.0946T45","888.0945549","44.985","1437.077067","1611.750409","1413.956532","1563.963859","1283.612861","1432.076652","1553.334328","2647.309434","2583.552066","3203.577697","2436.631948","1972.761258","2317.942","2640.799225","2394.185441","2320.264461","3495.922895","3834.561436","4446.741844","4468.48863","3438.779234"
"M768.4101T196","768.4101088","195.98800002","96.54174695","233.5105196","99.85533477","193.8079074","158.3814723","119.325846","169.9799355","309.7147645","604.5655298","381.0013829","363.700463","283.3252243","263.1730583","592.8541288","1037.152614","601.4842273","600.4238776","1078.462636","799.5952263","380.7125317","971.3606834"
"M78.9588T53.1","78.95879609","53.10100002","1071.705135","979.001444","1216.81582","1575.982286","800.1986997","1108.423038","986.2991917","2355.569922","3823.165564","3494.423499","2121.154842","1271.979845","1405.333728","4289.97346","4023.167112","4400.716598","4746.377807","8348.189467","12937.81378","8801.333956","7521.221862"
"M900.8901T198","900.8901253","198.01699998","68.06746353","88.78724456","40.93135698","210.7488647","68.17995007","37.73639003","83.60742745","662.1764065","590.5674232","440.805645","786.1436327","276.0564524","190.256518","879.6512289","364.5661756","882.9143363","1511.847566","3342.854587","3015.422246","1171.72141","1073.494675"
"M389.0063T55.1","389.0062721","55.12900002","13.18060397","54.51291905","110.7314149","130.0720601","43.79888819","15.4108621","46.78974434","669.7896871","859.6458553","1184.450121","895.3096324","402.8302504","173.2418716","1256.076279","976.7982054","611.5160469","401.1670258","886.6973466","1295.67439","1860.971618","787.3600938"
"M333.0579T38.9","333.0578617","38.89900002","628.275287","797.5483536","703.2078132","1293.048064","751.0840537","1234.330059","1004.412391","5231.389736","3170.106175","3295.923666","1824.971467","1626.166259","3160.940645","4138.098046","3056.575767","2295.065444","6214.69167","5930.381727","5459.948613","6821.627807","4924.720664"
"M302.0032T57.2","302.0032107","57.15799998","131.6796339","161.8201356","262.5074954","464.500835","184.1373606","189.715179","188.0300321","503.3985332","580.0210238","734.8330419","348.9030076","312.2719321","380.7553468","533.8347994","819.1454288","634.3762194","862.7174301","1207.023457","836.5162301","1370.534736","1018.443071"
