"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M520.189T297.9","520.18902","297.90514","18764.88","10468.39","11775.9","9901.834","3143.962","5736.773","6335","6302.599","708.4042","605.636","27058.6","19489.4","22319.7","14464.98","17002.4","13456.22","10861.4621","15948.52","23014.33","17191.01"
"M520.206T341.5","520.20603","341.54197","1532.589","738.7025","301.6237","533.6667","350.842","542.3794","339.207","387.6667","286.3415","414.8864","2332.999","2273.136","3175.953","1039.914","2638.694","1083.658","1335.836","1465.766","1508.626","1800.478"
"M520.2694T630.1","520.26945","630.09601","10074.93","12546.28","12544.16","12102.07","1053.035","15736.44","7845.946","7711","9649.006","9560.309","15947.94","11416.49","14103.29","29800.12","10680.89","9602.597","7513.4794","6727.112","6450.098","9507.256"
"M520.2651T677.5","520.26506","677.54342","1703.47","860.5733","233.352","180.144","690.4534","253.3536","1356.418","1360.754","108.6754","127.6769","6530.639","2902.505","3313.207","1958.232","3632.237","1024.082","592.8072","1314.542","4274.632","7292.726"
"M521.1475T202","521.14746","202.00783","2442.593","1939.52","1852.863","2060.388","664.6406","1476.184","2101.087","2913.713","1455.307","1007.695","8065.733","4862.805","5403.475","4719.83","5626.089","2066.661","2643.8164","2337.572","1511.755","1311.243"
"M521.202T180.6","521.20203","180.64971","877.0721","484.8908","418.8603","484.1149","178.4559","304.4504","197.6469","457.2688","304.209","365.8358","8437.216","6457.463","7268.944","6087.604","5808.081","3088.882","3963.0895","4972.563","4371.828","4446.948"
"M521.2012T221.2","521.20117","221.22547","1133.013","761.714","757.7877","753.8928","425.546","432.2858","921.6097","843.4959","666.5999","651.9925","5519.583","3920.125","4406.605","4078.514","2801.324","1491.188","1906.878","3103.311","2070.331","1403.368"
"M521.2016T275.9","521.20161","275.86914","117946.3","73393.44","69347.11","77744.44","27643.89","50856.19","59276.65","58730.65","1376.209","1436.055","400371.8","259862.9","304384.8","279786.1","257094.1","167919.7","174437.7472","229864.1","191504.4","164207.5"
"M521.7337T24.7","521.73366","24.70024","549.8635","604.4089","606.374","746.1993","482.7819","592.0147","623.7166","672.546","515.3282","713.7365","246.1241","142.6762","104.6966","90.35914","33.67629","269.8027","129.0369","215.7754","100.6954","107.3875"
"M522.1136T209.9","522.1136","209.89252","607.0096","364.2057","344.8345","453.1142","197.1422","417.1704","374.0943","350.5313","287.7617","308.15","4730.825","2472.865","3176.588","1697.485","2218.976","1292.891","1688.1074","848.3448","1171.554","1260.554"
