"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M816.5638T524.7","816.5638","524.67496","8386.467","4239.626","4793.762","5474.399","3788.105","209.398","293.9394","239.8584","255.4457","77.81928","0","0","0","5492.4069","896.7168","919.17611","640.0962","407.0896","940.1929"
"M816.8242T194.1","816.8242","194.14754","9466.077","10108.33","10063.1","8850.03","9607.025","1076.637","1101.652","979.3818","585.1344","1333.318","2369.905","2485.08","2357.284","2722.9738","432.25588","397.56868","337.2463","476.949","404.1554"
"M817.8813T220.3","817.8813","220.27828","508.8096","743.7806","740.389","564.7641","380.0715","70.69897","78.04234","35.35857","58.02154","13251.29","13296.78","13757.4","11783.61","18906.4827","543.50421","913.53319","168.4536","1319.96388","708.3237"
"M819.1532T23.6","819.1532","23.64127","3292.855","4360.106","6033.813","5811.969","5263.056","1817.688","2817.155","2877.025","3303.411","4946.722","2265.314","2724.969","2741.14","3666.1121","611.639","1269.66336","3044.521","681.16684","1719.421"
"M819.3382T255.2","819.3382","255.20876","2793.138","2203.744","1886.275","2394.175","1957.66","170.136","280.5964","229.0881","247.1976","15123.2","10306.16","14760.08","16042.61","16420.8429","3616.05725","2534.904","1025.061","4232.20886","3807.572"
"M819.3785T249.4","819.3785","249.42389","4392.899","3970.871","2916.052","3398.484","4012.738","487.5127","487.8812","543.7289","443.3225","63067.12","68456.03","68643.38","64801.25","75913.968","8819.7168","12100.13582","1546.458","15661.67983","10235.04"
"M819.3882T213.7","819.3882","213.70498","964.5655","1071.66","132.104","966.6594","802.06","258.8177","152.7668","136.7563","256.1679","45971.25","49781.44","51006.83","40867.63","42507.8727","3313.50557","4793.19333","781.0664","10686.37388","6210.701"
"M820.1564T24.1","820.1564","24.05019","1390.805","1996.736","2092.066","3318.077","2091.337","821.2165","2586.555","2526.958","3391.786","3566.459","2066.132","2722.683","2901.568","3287.6349","656.48313","1916.80247","7093.337","732.83389","3499.488"
"M824.3807T247.8","824.3807","247.75651","2851.222","1881.045","1585.848","2088.854","1120.392","268.7849","151.7662","236.4714","277.5153","55340.63","61615.82","58750.88","55730.73","67579.1792","9587.05378","14060.49493","2515.837","16428.61178","10447.02"
"M825.4538T232.6","825.4538","232.58851","1286.183","880.9507","671.4036","1278.498","1449.652","163.4456","136.776","254.146","188.3992","31828.09","32425.01","31221.85","29395.24","21101.657","3208.64336","4352.10109","813.618","7073.988","3372.352"
"M826.4165T290.6","826.4165","290.57177","2858.097","1746.412","2161.711","1258.658","1596.788","246.4195","189.3996","211.4707","180.7841","44979.91","44063.63","52101.45","67576.59","51160.307","22802.30878","24387.8418","6749.429","25639.63909","26634.08"
"M826.4558T232.6","826.4558","232.57457","1779.023","1978.888","1615.046","1107.91","1439.113","147.7644","109.7544","184.4553","243.4269","14461.63","14911.74","14653.77","12901.63","8443.8571","1494.05271","1364.96198","622.5727","3578.1936","1512.665"
"M827.4218T289.9","827.4218","289.87588","2908.019","1118.508","813.2766","1080.95","870.3536","91.02068","177.0692","106.7345","198.126","22551.92","22644.26","23484.59","35664.74","22717.0244","10645.11743","11233.614","2775.172","11690.92052","11607.6"
"M828.3867T140","828.3867","139.96807","1634.768","885.9753","811.159","1456.318","849.4624","50.02286","59.01341","68.7216","49.69015","11238.71","12825.71","10613.89","11840.06","8980.1756","1691.014","2155.41302","509.2823","2927.54927","2124.507"
